3071,**.1.3**.2*.3.1-**.3.1.2,16,D6D6,0
3084,**.2.1**.1*.3.2-**.1.2.3,16,B6B6,1
3096,**.2.3**.1*.3.2-**.3.2.1,16,B6B6,0
3109,**.3.1**.1*.2.3-**.1.3.2,16,9E9E,1
3124,**.3.2**.1*.2.3-**.2.3.1,16,9E9E,0
3446,**.1*.2.3-**.1.3**.3.1.2,16,9494,1
3451,**.1*.3.2-**.1.2**.2.1.3,16,9494,0
3447,**.1*.2.3-**.2.3**.3.2.1,16,9292,1
3457,**.2*.3.1-**.1.2**.2.1.3,16,9292,0
3453,**.1*.3.2-**.2.3**.3.2.1,16,8686,1
3458,**.2*.3.1-**.1.3**.3.1.2,16,8686,0
3862,-**.1*.2.3-**.1.3**.3.1.2,17,6B6B,1
3915,**.2.1-**.1*.3.2-**.1.2.3,17,6B6B,0
3932,**.3.1-**.1*.2.3-**.1.3.2,17,6B6B,0
3863,-**.1*.2.3-**.2.3**.3.2.1,17,6D6D,1
3895,**.1.2-**.2*.3.1-**.2.1.3,17,6D6D,0
3941,**.3.2-**.1*.2.3-**.2.3.1,17,6D6D,0
3864,-**.1*.3.2-**.2.3**.3.2.1,17,7979,1
3907,**.1.3-**.2*.3.1-**.3.1.2,17,7979,0
3925,**.2.3-**.1*.3.2-**.3.2.1,17,7979,0
5006,**.1*.2.3-*.3-**.1.2-*.2.1,18,1616,1
5015,**.1*.3.2-*.2-**.1.3-*.3.1,18,1616,0
5022,**.2*.3.1-*.1-**.2.3-*.3.2,18,1616,0
5285,**.1*-.2.3-***.2.3-*.3.2.1,18,6868,1
5338,**.2*-.1.3-***.1.3-*.3.1.2,18,6868,0
5391,**.3*-.1.2-***.1.2-*.2.1.3,18,6868,0
5396,***.1-.2.3-*.3**.1.2-*.2.1,18,E9E9,1
5413,***.1-.3.2-*.2**.1.3-*.3.1,18,E9E9,0
5430,***.2-.3.1-*.1**.2.3-*.3.2,18,E9E9,0
5606,**.1-*-.2.3-**.2.3**.3.2.1,18,9797,1
5617,**.2-*-.1.3-**.1.3**.3.1.2,18,9797,0
5628,**.3-*-.1.2-**.1.2**.2.1.3,18,9797,0
8490,**.1*.2.3**.1*.3.2-**.2.3**.3.2.1,22,9696,1
8755,***.1.2**.2.1.3-*.3-**.1.2-*.2.1,22,9696,0
8772,***.1.3**.3.1.2-*.2-**.1.3-*.3.1,22,9696,0
8801,***.2.3**.3.2.1-*.1-**.2.3-*.3.2,22,9696,0
8901,**.1**.2.3-*.3.2-***.2.3-*.3.2.1,22,6969,1
8916,**.2**.1.3-*.3.1-***.1.3-*.3.1.2,22,6969,0
8930,**.3**.1.2-*.2.1-***.1.2-*.2.1.3,22,6969,0

8930,(3 => ((1 => 2) => -(2 => 1))) => -((1 => 2) => 3))))
